1,165,3.5
1,120,3.4
1,191,4.3
1,157,3.6
1,150,3.7
1,186,3.5
1,149,4.2
1,140,4.1
1,178,4.0
1,123,3.8
1,102,4.5
1,167,4.7
1,118,3.3
1,124,4.9
1,107,3.4
1,198,5.0
1,164,4.9
1,180,4.9
1,125,3.2
1,117,4.3
1,197,4.5
1,173,3.3
1,109,3.9
1,139,4.6
1,108,4.3
1,115,4.8
1,104,3.9
1,130,3.3
1,110,4.5
1,114,4.4
1,174,3.7
1,142,4.9
1,181,4.4
1,185,4.6
1,175,3.4
1,121,4.7
1,146,3.2
1,112,4.1
1,156,3.6
1,155,4.7
1,182,3.4
1,148,4.2
1,162,5.0
1,171,5.0
1,158,4.4
1,132,4.4
1,136,3.1
1,116,3.7
1,189,3.3
1,153,3.7
1,135,4.2
1,152,3.4
1,138,4.6
1,163,3.8
1,166,4.3
1,184,4.9
1,199,4.7
1,101,4.5
1,159,4.2
1,170,3.9
1,193,5.0
1,103,4.6
1,143,4.3
1,131,3.7
1,200,4.9
1,119,4.8
1,147,3.8
1,122,4.0
1,192,3.1
1,194,3.1
1,151,4.7
1,129,3.4
1,111,4.5
1,134,3.7
1,177,4.1
1,188,4.5
1,128,3.1
1,179,3.7
1,176,3.7
1,196,3.8
1,106,4.6
1,105,3.8
1,168,3.4
1,141,4.3
1,190,3.2
1,126,4.1
1,137,4.5
1,183,4.2
1,172,3.6
1,113,5.0
1,133,3.2
1,127,4.1
1,144,4.0
1,187,4.3
1,145,3.7
1,154,4.6
1,161,3.5
2,143,4.3
2,123,5.0
2,148,3.9
2,159,3.2
2,173,3.9
2,107,3.1
2,184,4.7
2,127,4.1
2,116,4.9
2,150,4.2
2,105,3.8
2,198,4.2
2,167,4.5
2,133,5.0
2,180,4.7
2,191,4.8
2,146,4.5
2,110,3.6
3,132,3.5
3,186,3.8
3,148,3.3
3,141,4.3
3,169,4.3
3,193,3.8
3,167,4.9
3,195,3.9
3,136,4.7
3,127,4.4
3,114,3.5
3,177,4.4
3,112,3.3
3,155,4.5
3,181,3.2
3,173,3.3
3,190,3.8
4,106,3.8
4,161,5.0
4,193,3.2
4,123,3.7
4,166,4.4
4,198,4.2
4,173,4.4
4,109,3.6
4,165,4.8
4,157,5.0
5,188,3.2
5,185,3.7
5,165,3.7
5,103,4.5
5,196,4.2
5,176,4.4
5,177,3.9
5,150,3.1
5,101,5.0
5,108,4.5
5,173,4.0
5,190,3.7
5,113,3.9
5,135,3.7
5,192,3.6
5,104,3.6
5,149,3.3
5,182,3.8
5,131,3.4
5,191,4.4
5,126,3.2
5,186,4.0
5,158,4.7
5,136,4.0
5,167,4.7
5,134,5.0
5,109,3.1
5,123,3.6
5,138,3.4
5,114,3.1
5,162,3.5
5,132,4.8
5,120,3.2
5,144,4.9
5,122,4.6
5,175,3.7
5,143,4.9
5,163,3.5
5,129,3.3
5,140,4.6
5,156,3.9
5,151,3.3
5,133,3.1
5,121,5.0
5,195,4.5
5,160,4.1
5,166,4.1
5,106,4.5
5,127,3.4
5,142,4.5
5,148,4.6
5,139,4.7
5,181,3.2
5,130,3.4
5,128,3.1
5,102,4.7
5,170,5.0
6,143,4.7
6,180,3.2
6,139,3.6
6,162,4.3
6,179,3.9
7,185,3.9
7,139,4.1
7,149,4.3
7,108,4.5
7,181,4.2
7,155,4.7
7,144,3.6
7,159,3.8
7,164,3.5
7,116,4.0
7,153,3.5
7,119,3.9
7,124,4.2
7,138,4.5
7,196,3.3
7,117,4.2
7,148,3.4
7,161,3.8
7,132,3.3
7,152,3.5
7,111,3.5
7,121,3.5
7,142,4.7
7,156,4.8
7,188,3.2
7,165,4.6
